Latitude,Longitude
34.464,73.3179
33.6674,73.0769
32.1076,74.1969
31.0876,73.8844
32.4782,74.527
29.8099,72.8853
34.0216,71.6487
33.6076,72.9198
34.0136,71.6973
33.8568,73.7621
28.6457,70.6456
34.3865,73.457
28.3105,70.128
34.018,71.3656
32.3099,74.4304
33.3375,70.5368
